--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Product :	CubeSat_1U
Date    :	Monday, 14 June 2021 18:02:22
Author  :	diego
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Component                                | Sub-Component                            | Area[m2]        | Volume[m3]      | Density[kg_m3]  | Mass[kg]        | Gx[mm]          | Gy[mm]          | Gz[mm]          | M1[kgxm2]       | M2[kgxm2]       | M3[kgxm2]       | IoxG[kgxm2]     | IoyG[kgxm2]     | IozG[kgxm2]     | IxyG[kgxm2]     | IxzG[kgxm2]     | IyzG[kgxm2]     | 
Screw_M1.4x3                             |                                          | 4.02015e-005    | 1.21403e-008    | 1000.000        | 1.21403e-005    | -292.453        | 6.493           | 13.093          | 8.93762e-012    | 2.27573e-011    | 2.27573e-011    | 2.276e-011      | 2.276e-011      | 8.938e-012      | -1.578e-027     | -3.002e-027     | -7.616e-028     | 
Screw_M1.4x3                             |                                          | 4.02015e-005    | 1.21403e-008    | 1000.000        | 1.21403e-005    | -292.453        | -13.507         | 13.093          | 8.93762e-012    | 2.27573e-011    | 2.27573e-011    | 2.276e-011      | 2.276e-011      | 8.938e-012      | -1.578e-027     | -3.913e-027     | 8.766e-028      | 
Screw_M1.4x3                             |                                          | 4.02015e-005    | 1.21403e-008    | 1000.000        | 1.21403e-005    | -300.953        | -34.507         | 13.093          | 8.93762e-012    | 2.27573e-011    | 2.27573e-011    | 2.276e-011      | 2.276e-011      | 8.938e-012      | 7.707e-042      | -3.913e-027     | 8.766e-028      | 
Screw_M1.4x3                             |                                          | 4.02015e-005    | 1.21403e-008    | 1000.000        | 1.21403e-005    | -320.953        | -34.507         | 13.093          | 8.93762e-012    | 2.27573e-011    | 2.27573e-011    | 2.276e-011      | 2.276e-011      | 8.938e-012      | 7.707e-042      | -3.913e-027     | 8.766e-028      | 
ADS1115                                  |                                          | 0.001           | 7.38235e-007    | 1000.000        | 0.000738235     | -268.984        | 25.224          | 11.999          | 1.79079e-008    | 4.67618e-008    | 6.43551e-008    | 1.791e-008      | 4.676e-008      | 6.436e-008      | 1.936e-013      | 2.508e-013      | -3.933e-012     | 
0805 Capacitor                           |                                          | 1.04031e-005    | 2.12036e-009    | 1000.000        | 2.12036e-006    | -279.504        | 23.656          | 13.217          | 4.06443e-013    | 8.34299e-013    | 9.94593e-013    | 4.064e-013      | 8.343e-013      | 9.946e-013      | 6.296e-028      | -1.734e-028     | -1.063e-028     | 
0805 Capacitor                           |                                          | 1.04031e-005    | 2.12036e-009    | 1000.000        | 2.12036e-006    | -262.063        | 29.276          | 13.217          | 4.06443e-013    | 8.34299e-013    | 9.94593e-013    | 4.064e-013      | 8.343e-013      | 9.946e-013      | 6.088e-028      | 2.226e-028      | 8.291e-029      | 
0805 Inductor                            |                                          | 8.30293e-006    | 1.2574e-009     | 1000.000        | 1.2574e-006     | -280.755        | 26.921          | 13.052          | 1.88246e-013    | 4.50983e-013    | 5.85833e-013    | 4.51e-013       | 1.882e-013      | 5.858e-013      | 4.011e-029      | 4.687e-030      | -2.015e-029     | 
0805 Inductor                            |                                          | 8.30293e-006    | 1.2574e-009     | 1000.000        | 1.2574e-006     | -278.237        | 26.972          | 13.052          | 1.88246e-013    | 4.50983e-013    | 5.85833e-013    | 4.51e-013       | 1.882e-013      | 5.858e-013      | -2.552e-029     | 3.667e-029      | 3.034e-029      | 
0805 Resistor                            |                                          | 8.30293e-006    | 1.2574e-009     | 1000.000        | 1.2574e-006     | -275.694        | 26.960          | 13.052          | 1.88246e-013    | 4.50983e-013    | 5.85833e-013    | 4.51e-013       | 1.882e-013      | 5.858e-013      | 5.441e-029      | 4.304e-029      | -4.426e-029     | 
